,0,1,2
691,-1035,20,24
692,-1033,24,24
693,-1035,23,27
694,-1034,22,25
695,-1031,21,21
696,-1032,23,24
697,-1033,21,28
698,-1030,21,25
699,-1031,21,23
700,-1031,21,23
701,-1032,21,28
702,-1033,20,29
703,-1030,21,25
704,-1036,23,29
705,-1029,22,25
706,-1036,22,26
707,-1033,20,22
708,-1033,24,22
709,-1033,22,25
710,-1036,22,22
711,-1036,23,22
712,-1037,21,26
713,-1032,24,22
714,-1036,24,23
715,-1035,19,24
716,-1035,20,27
717,-1035,18,25
718,-1036,20,26
719,-1033,20,24
720,-1033,20,25
721,-1035,21,24
722,-1034,23,23
723,-1035,20,25
724,-1033,22,24
725,-1033,21,20
726,-1029,20,22
727,-1033,23,23
728,-1030,19,19
729,-1030,21,22
730,-1027,21,26
731,-1030,23,24
732,-1031,20,26
733,-1035,21,26
734,-1035,19,32
735,-1037,19,32
736,-1037,23,26
737,-1041,20,27
738,-1038,21,26
739,-1038,22,29
740,-1035,27,25
741,-1029,29,28
742,-1028,26,28
743,-1028,28,26
744,-1027,27,34
745,-1026,26,13
746,-1029,25,-11
747,-1032,21,-3
748,-1030,23,28
749,-1026,18,69
750,-1028,19,76
751,-1037,14,53
752,-1045,15,19
753,-1045,17,4
754,-1036,20,14
755,-1030,23,35
756,-1029,18,54
757,-1031,20,37
758,-1031,20,18
759,-1029,23,11
760,-1027,25,7
761,-1022,25,12
762,-1019,23,15
763,-1022,24,25
764,-1025,19,27
765,-1030,19,35
766,-1027,21,29
767,-1031,21,35
768,-1034,23,34
769,-1036,23,31
770,-1036,20,29
771,-1038,20,27
772,-1038,21,24
773,-1038,24,22
774,-1034,22,25
775,-1034,22,24
776,-1032,19,27
777,-1037,15,27
778,-1032,20,25
779,-1033,19,29
780,-1033,22,23
781,-1036,17,26
782,-1032,22,23
783,-1034,24,27
784,-1032,21,29
785,-1033,22,27
786,-1032,21,28
787,-1033,20,29
788,-1030,20,27
789,-1030,19,34
790,-1030,22,31
791,-1031,18,27
792,-1031,21,32
793,-1030,19,31
794,-1033,20,29
795,-1034,23,26
796,-1030,22,30
797,-1033,22,26
798,-1029,23,30
799,-1032,20,31
800,-1033,22,29
801,-1034,21,26
802,-1036,24,29
803,-1033,22,26
804,-1037,26,29
805,-1035,27,29
806,-1036,22,29
807,-1036,23,26
808,-1038,23,28
809,-1036,18,14
810,-1036,21,12
811,-1032,23,36
812,-1033,28,63
813,-1035,29,53
814,-1041,23,29
815,-1032,27,16
816,-1029,26,11
817,-1027,23,14
818,-1024,22,21
819,-1022,22,26
820,-1028,22,31
821,-1030,17,33
822,-1035,19,32
823,-1035,19,27
824,-1033,19,25
825,-1035,23,25
826,-1034,22,23
827,-1030,24,22
828,-1030,24,25
829,-1031,21,27
830,-1033,24,25
831,-1032,23,25
832,-1035,20,29
833,-1037,25,31
834,-1036,22,28
835,-1040,21,28
836,-1035,20,30
837,-1041,24,31
838,-1035,21,31
839,-1038,20,31
840,-1037,19,30
841,-1034,16,31
842,-1039,18,27
843,-1038,18,31
844,-1034,15,30
845,-1034,17,28
846,-1029,17,30
847,-1033,18,30
848,-1032,20,30
849,-1031,18,28
850,-1031,18,27
851,-1033,16,23
852,-1034,20,26
853,-1032,24,22
854,-1034,20,24
855,-1032,23,22
856,-1032,23,24
857,-1035,22,23
858,-1034,20,27
859,-1037,20,26
860,-1034,21,29
861,-1033,22,25
862,-1034,21,27
863,-1035,25,25
864,-1033,20,31
865,-1035,23,23
866,-1035,25,30
867,-1034,25,30
868,-1032,21,23
869,-1035,17,33
870,-1034,19,29
871,-1036,20,29
872,-1032,16,24
873,-1035,17,28
874,-1032,21,31
875,-1032,20,31
876,-1034,20,32
877,-1032,17,33
878,-1031,18,33
879,-1032,19,32
880,-1035,18,30
881,-1033,19,31
882,-1030,18,34
883,-1033,16,27
884,-1037,22,27
885,-1032,22,26
886,-1035,21,29
887,-1035,18,30
888,-1033,18,33
889,-1037,23,29
890,-1034,19,29
891,-1035,21,30
892,-1035,23,25
893,-1034,22,25
894,-1036,22,27
895,-1033,22,33
896,-1035,23,26
897,-1031,22,28
898,-1034,23,27
899,-1031,22,25
900,-1030,21,27
901,-1034,21,26
902,-1031,20,30
903,-1033,20,29
904,-1032,22,30
905,-1031,21,32
906,-1032,17,29
907,-1032,22,30
908,-1031,18,30
909,-1032,21,37
910,-1031,18,31
911,-1034,19,32
912,-1032,19,33
913,-1031,22,28
914,-1034,22,34
915,-1031,20,29
916,-1029,21,31
917,-1032,22,30
918,-1031,25,31
919,-1029,21,29
920,-1033,21,32
921,-1032,22,27
922,-1030,24,29
923,-1031,22,29
924,-1030,21,34
925,-1031,19,32
926,-1030,18,27
927,-1030,18,33
928,-1032,20,35
929,-1034,21,36
930,-1034,22,34
931,-1036,21,31
932,-1039,21,33
933,-1037,21,30
934,-1035,24,29
935,-1034,25,34
936,-1032,24,35
937,-1028,23,29
938,-1025,25,36
939,-1022,23,28
940,-1024,20,2
941,-1025,19,-5
942,-1028,20,12
943,-1026,16,57
944,-1027,16,80
945,-1036,12,73
946,-1046,12,42
947,-1046,11,14
948,-1042,15,15
949,-1035,16,33
950,-1029,16,52
951,-1025,14,41
952,-1030,22,23
953,-1032,22,6
954,-1026,22,15
955,-1024,22,20
956,-1021,22,25
957,-1023,21,32
958,-1027,19,30
959,-1028,15,34
960,-1028,17,34
961,-1030,21,38
962,-1034,20,36
963,-1034,19,36
964,-1037,22,31
965,-1037,18,31
966,-1035,21,28
967,-1040,20,29
968,-1040,22,29
969,-1041,22,39
970,-1042,23,38
971,-1042,18,33
972,-1039,18,34
973,-1037,20,29
974,-1036,21,31
975,-1035,21,27
976,-1034,20,26
977,-1032,18,28
978,-1031,18,26
979,-1033,18,31
980,-1028,21,29
981,-1028,18,31
982,-1027,18,27
983,-1029,17,28
984,-1028,19,29
985,-1026,19,31
986,-1028,19,28
987,-1029,20,29
988,-1027,20,26
989,-1026,18,30
990,-1029,20,29
991,-1027,20,33
992,-1033,20,31
993,-1031,23,28
994,-1034,23,35
995,-1035,24,34
996,-1035,22,28
997,-1035,24,34
998,-1036,23,31
999,-1035,22,33
1000,-1036,24,31
1001,-1036,20,34
1002,-1041,20,27
1003,-1042,20,15
1004,-1045,22,22
1005,-1037,26,53
1006,-1041,26,66
