,0
1842,-222
1843,-210
1844,-198
1845,-200
1846,-203
1847,-191
1848,-167
1849,-158
1850,-160
1851,-156
1852,-151
1853,-144
1854,-139
1855,-151
1856,-153
1857,-141
1858,-148
1859,-148
1860,-120
1861,-92
1862,-80
1863,-78
1864,-73
1865,-68
1866,-66
1867,-68
1868,-61
1869,-56
1870,-66
1871,-85
1872,-113
1873,-134
1874,-108
1875,-68
1876,35
1877,340
1878,754
1879,867
1880,260
1881,-593
1882,-643
1883,-174
1884,-82
1885,-144
1886,-49
1887,-42
1888,-96
1889,-61
1890,-26
1891,-37
1892,-18
1893,16
1894,21
1895,14
1896,26
1897,54
1898,73
1899,82
1900,96
1901,118
1902,125
1903,127
1904,148
1905,163
1906,156
1907,156
1908,139
1909,96
1910,104
1911,120
1912,87
1913,49
1914,7
1915,-61
1916,-115
1917,-144
1918,-184
1919,-229
1920,-248
1921,-243
1922,-231
1923,-224
1924,-212
1925,-193
1926,-172
1927,-184
1928,-203
1929,-193
1930,-196
1931,-215
1932,-205
1933,-198
1934,-208
1935,-210
1936,-203
1937,-215
1938,-248
1939,-264
1940,-252
1941,-250
1942,-248
1943,-231
1944,-217
1945,-210
1946,-205
1947,-203
1948,-200
1949,-189
1950,-172
1951,-174
1952,-191
1953,-196
1954,-182
1955,-172
1956,-163
1957,-146
1958,-127
1959,-127
1960,-132
1961,-118
1962,-99
1963,-85
1964,-75
1965,-68
1966,-66
1967,-56
1968,-47
1969,-52
1970,-54
1971,-49
1972,-59
1973,-59
1974,-40
1975,-30
1976,-23
1977,-18
1978,16
1979,234
1980,661
1981,931
1982,498
1983,-463
1984,-820
1985,-352
1986,-104
1987,-191
1988,-113
1989,-30
1990,-80
1991,-78
1992,-26
1993,-14
1994,-9
1995,11
1996,16
1997,11
1998,28
1999,54
2000,78
2001,89
2002,92
2003,75
2004,49
2005,54
2006,96
2007,118
2008,115
2009,125
2010,141
2011,151
2012,156
2013,156
2014,127
2015,68
2016,-2
2017,-61
2018,-101
2019,-141
2020,-179
2021,-198
2022,-203
2023,-205
2024,-189
2025,-182
2026,-200
2027,-205
2028,-193
2029,-203
2030,-210
2031,-196
2032,-191
2033,-193
2034,-189
2035,-189
2036,-191
2037,-189
2038,-186
2039,-182
2040,-172
2041,-172
2042,-174
2043,-170
2044,-170
2045,-163
2046,-158
2047,-172
2048,-186
2049,-177
2050,-167
2051,-167
2052,-153
2053,-156
2054,-203
2055,-236
2056,-212
2057,-193
2058,-186
2059,-167
2060,-158
2061,-167
2062,-165
2063,-151
2064,-132
2065,-108
2066,-99
2067,-96
2068,-113
2069,-153
2070,-172
2071,-151
2072,-144
2073,-160
2074,-160
2075,-141
2076,-120
2077,-106
2078,-96
2079,-89
2080,7
2081,309
2082,737
2083,917
2084,375
2085,-534
2086,-676
2087,-179
2088,-52
2089,-153
2090,-68
2091,-18
2092,-70
2093,-56
2094,-9
2095,-2
2096,4
2097,21
2098,16
2099,14
2100,35
2101,56
2102,70
2103,82
2104,82
2105,70
2106,80
2107,111
2108,134
2109,146
2110,151
2111,151
2112,148
2113,158
2114,165
2115,151
2116,120
2117,78
2118,21
2119,-33
2120,-70
2121,-108
2122,-146
2123,-193
2124,-248
2125,-267
2126,-245
2127,-250
2128,-267
2129,-262
2130,-267
2131,-269
2132,-250
2133,-260
2134,-302
2135,-307
2136,-283
2137,-281
2138,-274
2139,-257
2140,-255
2141,-250
2142,-241
2143,-248
2144,-257
2145,-245
2146,-234
2147,-229
2148,-215
2149,-208
2150,-203
2151,-193
2152,-184
2153,-174
2154,-160
2155,-156
2156,-153
2157,-144
2158,-139
2159,-132
2160,-113
2161,-106
2162,-111
2163,-113
2164,-106
2165,-94
2166,-82
2167,-75
2168,-82
2169,-87
2170,-73
2171,-49
2172,-33
2173,-21
2174,-11
2175,-30
2176,-61
2177,-66
2178,-52
2179,-47
2180,-44
2181,-44
2182,-49
2183,-40
2184,-26
2185,9
2186,146
2187,451
2188,815
2189,879
2190,260
2191,-536
2192,-487
2193,-23
2194,-28
2195,-132
2196,-18
2197,14
2198,-26
2199,-7
2200,-18
2201,-56
2202,-33
2203,2
2204,0
2205,9
2206,21
2207,11
2208,9
2209,35
2210,59
2211,56
2212,16
2213,-21
2214,2
2215,47
2216,68
2217,85
2218,96
2219,94
2220,96
2221,96
2222,78
2223,33
2224,-26
2225,-89
2226,-137
2227,-163
2228,-179
2229,-196
2230,-205
2231,-210
2232,-208
2233,-205
2234,-205
2235,-208
2236,-217
2237,-231
2238,-236
2239,-245
2240,-252
2241,-243
2242,-231
2243,-229
2244,-226
2245,-224
2246,-212
2247,-205
2248,-208
2249,-203
2250,-198
2251,-200
2252,-191
2253,-177
2254,-179
2255,-174
2256,-160
2257,-160
2258,-158
2259,-144
2260,-139
2261,-132
2262,-120
2263,-120
2264,-132
2265,-160
2266,-200
2267,-193
2268,-165
2269,-198
2270,-257
2271,-269
2272,-257
2273,-245
2274,-224
2275,-210
2276,-210
2277,-203
2278,-191
2279,-182
2280,-167
2281,-144
2282,-127
2283,-125
2284,-115
2285,-92
2286,-78
2287,-78
2288,-87
2289,-101
2290,-96
2291,-75
2292,-63
2293,-59
2294,-56
2295,-61
2296,-52
2297,44
2298,304
2299,697
2300,952
2301,591
2302,-307
2303,-664
2304,-226
2305,-11
2306,-141
2307,-104
2308,-33
2309,-66
2310,-52
2311,-9
2312,-2
2313,0
2314,0
2315,2
2316,30
2317,47
2318,37
2319,28
2320,30
2321,44
2322,68
2323,85
2324,101
2325,125
2326,141
2327,151
2328,174
