,0
985,-316
986,-528
987,-85
988,-31
989,-201
990,-131
991,-65
992,-107
993,-90
994,-58
995,-70
996,-65
997,-41
998,-31
999,-24
1000,-14
1001,-17
1002,-14
1003,-2
1004,4
1005,7
1006,9
1007,0
1008,-24
1009,-38
1010,-46
1011,-70
1012,-94
1013,-97
1014,-102
1015,-99
1016,-80
1017,-72
1018,-80
1019,-90
1020,-102
1021,-107
1022,-102
1023,-97
1024,-92
1025,-97
1026,-121
1027,-131
1028,-116
1029,-104
1030,-102
1031,-107
1032,-119
1033,-126
1034,-128
1035,-133
1036,-133
1037,-128
1038,-133
1039,-141
1040,-141
1041,-141
1042,-138
1043,-138
1044,-141
1045,-136
1046,-128
1047,-121
1048,-111
1049,-109
1050,-109
1051,-104
1052,-99
1053,-94
1054,-90
1055,-82
1056,-77
1057,-80
1058,-77
1059,-68
1060,-58
1061,-55
1062,-53
1063,-48
1064,-55
1065,-60
1066,-51
1067,-43
1068,-36
1069,-21
1070,-2
1071,2
1072,-12
1073,-24
1074,-36
1075,-38
1076,-21
1077,-26
1078,-48
1079,-46
1080,-34
1081,-31
1082,19
1083,228
1084,649
1085,1104
1086,985
1087,68
1088,-581
1089,-296
1090,2
1091,-121
1092,-136
1093,-38
1094,-60
1095,-75
1096,-34
1097,-31
1098,-51
1099,-43
1100,-29
1101,-31
1102,-51
1103,-60
1104,-53
1105,-53
1106,-51
1107,-41
1108,-43
1109,-48
1110,-48
1111,-43
1112,-41
1113,-46
1114,-58
1115,-75
1116,-85
1117,-80
1118,-80
1119,-85
1120,-92
1121,-114
1122,-133
1123,-136
1124,-145
1125,-155
1126,-148
1127,-136
1128,-136
1129,-136
1130,-116
1131,-97
1132,-92
1133,-94
1134,-87
1135,-85
1136,-94
1137,-104
1138,-104
1139,-111
1140,-121
1141,-116
1142,-111
1143,-119
1144,-133
1145,-136
1146,-131
1147,-131
1148,-128
1149,-126
1150,-121
1151,-109
1152,-109
1153,-111
1154,-94
1155,-82
1156,-87
1157,-85
1158,-85
1159,-90
1160,-87
1161,-72
1162,-63
1163,-55
1164,-46
1165,-24
1166,-12
1167,-29
1168,-51
1169,-65
1170,-58
1171,-48
1172,-53
1173,-51
1174,-31
1175,-26
1176,-29
1177,19
1178,206
1179,593
1180,1051
1181,1002
1182,99
1183,-654
1184,-418
1185,-82
1186,-192
1187,-204
1188,-97
1189,-121
1190,-136
1191,-92
1192,-82
1193,-75
1194,-51
1195,-46
1196,-38
1197,-26
1198,-26
1199,-21
1200,-7
1201,-4
1202,-9
1203,-12
1204,-17
1205,-29
1206,-48
1207,-53
1208,-46
1209,-70
1210,-104
1211,-94
1212,-72
1213,-82
1214,-94
1215,-99
1216,-114
1217,-133
1218,-148
1219,-150
1220,-138
1221,-124
1222,-131
1223,-133
1224,-107
1225,-82
1226,-72
1227,-51
1228,-46
1229,-65
1230,-77
1231,-65
1232,-51
1233,-48
1234,-60
1235,-75
1236,-77
1237,-70
1238,-72
1239,-70
1240,-53
1241,-60
1242,-75
1243,-58
1244,-38
1245,-51
1246,-51
1247,-55
1248,-87
1249,-97
1250,-82
1251,-90
1252,-75
1253,-38
1254,-34
1255,-31
1256,-17
1257,-17
1258,-46
1259,-58
1260,-43
1261,-26
1262,-19
1263,-24
1264,-38
1265,-41
1266,-34
1267,34
1268,291
1269,785
1270,1267
1271,1039
1272,-31
1273,-659
1274,-289
1275,-58
1276,-238
1277,-206
1278,-97
1279,-138
1280,-143
1281,-94
1282,-90
1283,-92
1284,-77
1285,-68
1286,-53
1287,-36
1288,-31
1289,-24
1290,-17
1291,-19
1292,-24
1293,-24
1294,-19
1295,-9
1296,-17
1297,-41
1298,-46
1299,-48
1300,-68
1301,-77
1302,-75
1303,-77
1304,-97
1305,-119
1306,-131
1307,-148
1308,-150
1309,-141
1310,-143
1311,-153
1312,-141
1313,-124
1314,-128
1315,-111
1316,-63
1317,-58
1318,-85
1319,-75
1320,-60
1321,-53
1322,-36
1323,-51
1324,-97
1325,-107
1326,-92
1327,-92
1328,-97
1329,-104
1330,-116
1331,-104
1332,-90
1333,-102
1334,-107
1335,-82
1336,-85
1337,-114
1338,-80
1339,-24
1340,-38
1341,-75
1342,-77
1343,-72
1344,-85
1345,-90
1346,-77
1347,-58
1348,-46
1349,-53
1350,-75
1351,-51
1352,-14
1353,41
1354,294
1355,802
1356,1275
1357,1019
1358,-58
1359,-635
1360,-206
1361,19
1362,-184
1363,-153
1364,-55
1365,-107
1366,-99
1367,-48
1368,-70
1369,-85
1370,-43
1371,-17
1372,-26
1373,-17
1374,-2
1375,4
1376,17
1377,24
1378,34
1379,55
1380,55
1381,51
1382,51
1383,36
1384,9
1385,-12
1386,-14
1387,-14
1388,-38
1389,-60
1390,-68
1391,-97
1392,-136
1393,-165
1394,-187
1395,-192
1396,-182
1397,-182
1398,-182
1399,-165
1400,-145
1401,-131
1402,-116
1403,-107
1404,-104
1405,-97
1406,-92
1407,-97
1408,-97
1409,-90
1410,-87
1411,-87
1412,-90
1413,-102
1414,-90
1415,-80
1416,-90
1417,-80
1418,-60
1419,-63
1420,-77
1421,-77
1422,-60
1423,-58
1424,-70
1425,-70
1426,-48
1427,-34
1428,-26
1429,-21
1430,-21
1431,-24
1432,-31
1433,-38
1434,-36
1435,-26
1436,-19
1437,-14
1438,-12
1439,-12
1440,-9
1441,65
1442,350
1443,871
1444,1316
1445,961
1446,-141
1447,-593
1448,-128
1449,26
1450,-172
1451,-111
1452,-29
1453,-90
1454,-77
1455,-21
1456,-34
1457,-46
1458,-34
1459,-26
1460,-14
1461,0
1462,0
1463,4
1464,24
1465,26
1466,14
1467,24
1468,41
1469,24
1470,-21
1471,-41
1472,-43
1473,-70
1474,-80
1475,-75
1476,-102
1477,-119
1478,-119
1479,-136
1480,-155
1481,-163
1482,-175
1483,-192
1484,-187
1485,-180
1486,-180
1487,-167
1488,-172
1489,-184
1490,-165
1491,-138
1492,-143
1493,-150
1494,-133
1495,-121
1496,-121
1497,-116
1498,-109
1499,-119
1500,-121
1501,-116
1502,-121
1503,-111
1504,-99
1505,-104
1506,-104
1507,-102
1508,-102
1509,-99
1510,-90
1511,-82
1512,-87
1513,-87
1514,-75
1515,-77
1516,-75
1517,-60
1518,-58
1519,-63
1520,-55
1521,-60
1522,-75
1523,-68
1524,-63
1525,-65
1526,-51
1527,-26
1528,-19
1529,-14
1530,-9
1531,-17
1532,-31
1533,-43
1534,-38
1535,-26
1536,-26
1537,-31
1538,-34
1539,-60
1540,-107
1541,-77
1542,109
1543,503
1544,1051
1545,1267
1546,535
1547,-474
1548,-486
1549,-60
1550,-128
1551,-228
1552,-116
1553,-114
1554,-160
1555,-114
1556,-85
1557,-94
1558,-80
1559,-68
1560,-70
1561,-55
1562,-36
1563,-29
1564,-19
1565,-2
1566,2
1567,-2
1568,-4
1569,-2
1570,7
1571,4
1572,-21
1573,-34
1574,-19
1575,-19
1576,-31
1577,-36
1578,-51
1579,-72
1580,-82
1581,-90
1582,-99
1583,-109
1584,-119
1585,-136
1586,-143
1587,-126
1588,-121
1589,-138
1590,-136
1591,-119
1592,-116
1593,-109
1594,-94
1595,-92
1596,-99
1597,-99
1598,-94
1599,-92
1600,-92
1601,-90
1602,-92
1603,-107
1604,-124
1605,-124
1606,-116
1607,-119
1608,-119
1609,-114
1610,-116
1611,-109
1612,-99
1613,-107
1614,-107
1615,-104
1616,-133
1617,-158
1618,-143
1619,-128
1620,-131
1621,-131
1622,-124
1623,-114
1624,-109
1625,-104
1626,-94
1627,-87
1628,-82
1629,-80
1630,-82
1631,-85
1632,-75
1633,-63
1634,-60
1635,-60
1636,-51
1637,-46
1638,-51
1639,-60
1640,-63
1641,-58
1642,-43
1643,-29
1644,-24
1645,-9
1646,4
1647,-4
1648,-19
1649,-41
1650,-58
1651,-41
1652,-26
1653,-31
1654,-31
1655,-31
1656,-31
1657,7
1658,167
1659,532
1660,1082
1661,1350
1662,678
1663,-360
1664,-469
1665,-51
1666,-99
1667,-238
1668,-131
1669,-114
1670,-187
1671,-153
1672,-109
1673,-128
1674,-126
1675,-94
1676,-85
1677,-80
1678,-70
1679,-70
1680,-72
1681,-77
1682,-85
1683,-80
1684,-70
1685,-75
1686,-77
1687,-75
1688,-80
1689,-85
1690,-82
1691,-107
1692,-143
1693,-145
1694,-133
1695,-143
1696,-155
1697,-158
